dt;temp;dew_point;pressure;humidity;wind_speed;wind_deg;clouds_all;PTotAvg [W]
2010-02-27 01:00:00;277,2;276,32;997;94;3,81;228;100;0
2010-02-27 02:00:00;276,86;275,83;997;93;4,17;239;96;0
2010-02-27 03:00:00;276,79;275,92;998;94;4,64;249;97;0
2010-02-27 04:00:00;276,81;275,94;999;94;5,1;258;100;0
2010-02-27 05:00:00;277,23;276,35;1000;94;5,39;265;100;0
2010-02-27 06:00:00;277,15;276,27;1001;94;5,22;266;100;0
2010-02-27 07:00:00;277,04;275,86;1002;92;4,82;263;99;0
2010-02-27 08:00:00;276,96;275,47;1003;90;4,68;257;95;0
2010-02-27 09:00:00;277,42;275,13;1004;85;4,58;253;98;0
2010-02-27 10:00:00;278,21;275,22;1004;81;4,31;242;96;0
2010-02-27 11:00:00;278,37;275,03;1005;79;4,14;235;100;0
2010-02-27 12:00:00;278,57;274,87;1005;77;4,47;231;100;0
2010-02-27 13:00:00;279,07;274,8;1005;74;4,59;229;85;0
2010-02-27 14:00:00;278,89;274,24;1005;72;4,91;234;55;0
2010-02-27 15:00:00;279,88;274,19;1005;67;3,96;231;32;0
2010-02-27 16:00:00;279,77;274,29;1005;68;3,13;219;26;0
2010-02-27 17:00:00;278,99;274,14;1005;71;2,71;203;47;0
2010-02-27 18:00:00;277,96;273,91;1005;75;3,01;199;63;0
2010-02-27 19:00:00;277,06;273,76;1005;79;3,19;197;51;0
2010-02-27 20:00:00;276,75;273,63;1005;80;3,23;191;46;0
2010-02-27 21:00:00;276,7;273,58;1005;80;3,45;187;51;0
2010-02-27 22:00:00;276,72;273,77;1005;81;3,59;183;57;0
2010-02-27 23:00:00;276,04;273,44;1004;83;3,8;181;94;0
2010-02-28 00:00:00;276,14;273,54;1004;83;3,94;180;29;0
2010-02-28 01:00:00;275,81;273,55;1004;85;3,89;178;56;0
2010-02-28 02:00:00;275,46;273,36;1003;86;3,78;175;69;0
2010-02-28 03:00:00;275,33;273,24;1003;86;3,78;166;95;0
2010-02-28 04:00:00;274,95;273,04;1002;87;3,87;158;90;0
2010-02-28 05:00:00;274,78;272,89;1001;87;4,03;152;99;0
2010-02-28 06:00:00;275,16;272,79;1001;84;4,36;147;100;0
2010-02-28 07:00:00;275,32;272,64;1000;82;4,71;141;98;0
2010-02-28 08:00:00;276,09;272,54;999;77;5,26;137;93;0
2010-02-28 09:00:00;277,83;272,16;998;66;5,84;145;93;0
2010-02-28 10:00:00;279,84;272,07;998;57;5,75;144;98;0
2010-02-28 11:00:00;281,2;271,86;996;51;5,41;146;85;0
2010-02-28 12:00:00;282,11;272,12;995;49;5,72;146;34;0
2010-02-28 13:00:00;283,04;272,62;994;48;5,77;155;49;0
2010-02-28 14:00:00;283,35;272,62;993;47;5,48;159;95;0
2010-02-28 15:00:00;283,09;273,16;993;50;4,77;163;98;0
2010-02-28 16:00:00;282,75;273,12;992;51;4,87;160;98;0
2010-02-28 17:00:00;282,05;273,51;992;55;4,95;171;100;0
2010-02-28 18:00:00;281,21;274,82;991;64;4,46;171;99;0
2010-02-28 19:00:00;280,41;275,31;991;70;4,81;173;98;0
2010-02-28 20:00:00;279,88;275,39;991;73;5,67;179;100;0
2010-02-28 21:00:00;280,34;275,44;991;71;6,39;190;96;0
2010-02-28 22:00:00;280,77;275,45;991;69;6,66;198;39;0
2010-02-28 23:00:00;281,42;275,66;991;67;7,65;203;25;0
2010-03-01 00:00:00;281,72;275,95;991;67;7,57;196;34;0
2010-03-01 01:00:00;281,99;275,56;991;64;7,74;200;55;0
2010-03-01 02:00:00;281,83;274,96;991;62;7,74;207;57;0
2010-03-01 03:00:00;281,59;274,51;991;61;8,1;213;69;0
2010-03-01 04:00:00;281,04;274,66;991;64;8,44;218;78;0
2010-03-01 05:00:00;280,75;275,02;991;67;8,91;223;75;0
2010-03-01 06:00:00;280,51;274,58;991;66;9,39;227;85;0
2010-03-01 07:00:00;279,92;274,64;991;69;9,73;231;100;0
2010-03-01 08:00:00;279,3;274,44;992;71;10,17;235;100;0
2010-03-01 09:00:00;278,65;274,94;993;77;11,12;239;100;0
2010-03-01 10:00:00;278,4;275,06;993;79;11;243;100;0
2010-03-01 11:00:00;277,7;275,4;995;85;10,15;248;100;0
2010-03-01 12:00:00;277,31;275,34;996;87;10,48;252;100;0
2010-03-01 13:00:00;277,22;275,57;997;89;10,91;258;100;0
2010-03-01 14:00:00;277,4;275,59;998;88;9,65;257;100;0
2010-03-01 15:00:00;277,42;275,13;999;85;9,27;261;100;0
2010-03-01 16:00:00;277,06;274,77;1000;85;8,61;264;97;145195,2
2010-03-01 17:00:00;276,81;274,2;1001;83;7,81;266;86;290390,5
2010-03-01 18:00:00;276,45;273,68;1002;82;7,31;266;60;2758710
2010-03-01 19:00:00;276,25;272,52;1003;76;7,26;266;67;4355857
2010-03-01 20:00:00;275,97;271,96;1004;74;7,44;266;93;0
2010-03-01 21:00:00;275,73;271,43;1005;72;7,53;267;95;0
2010-03-01 22:00:00;275,58;271,13;1006;71;7,51;267;73;0
2010-03-01 23:00:00;275,41;271,15;1007;72;7,7;267;64;0
2010-03-02 00:00:00;275,24;270,84;1008;71;7,56;269;62;0
2010-03-02 01:00:00;275;270,64;1009;71;7,27;270;78;0
2010-03-02 02:00:00;274,81;270,81;1009;73;6,92;271;65;0
2010-03-02 03:00:00;274,56;270,91;1010;75;6,61;270;24;0
